Name,Team,Rec,Yds,Tgt,Avg,TD,FstDn,Pct,Lng,Fum,FumL,Season,Wk
"Jefferson, Shawn",ATL,7,148,12,21.1,1,7,100,48,0,0,2000,101
"Boston, David",ARZ,9,128,11,14.2,2,7,77.8,25,0,0,2000,101
"Hakim, Az-Zahir",STL,5,116,6,23.2,1,3,60,80,0,0,2000,101
"McCaffrey, Ed",DEN,7,115,8,16.4,0,5,71.4,35,0,0,2000,101
"McCardell, Keenan",JAX,9,115,11,12.8,0,7,77.8,24,0,0,2000,101
"Harrison, Marvin",IND,9,115,13,12.8,0,7,77.8,31,0,0,2000,101
"Ward, Dedric",NYJ,5,104,11,20.8,0,4,80,61,0,0,2000,101
"Holt, Torry",STL,6,103,8,17.2,0,5,83.3,27,0,0,2000,101
"Ismail, Qadry",BAL,7,102,11,14.6,1,5,71.4,53,0,0,2000,101
"Faulk, Marshall",STL,4,100,7,25,1,2,50,72,0,0,2000,101
"Moss, Randy",MIN,4,89,7,22.3,0,2,50,66,1,0,2000,101
"Smith, Rod",DEN,3,88,9,29.3,1,3,100,47,0,0,2000,101
"Robinson, Marcus",CHI,7,86,9,12.3,1,2,28.6,48,1,1,2000,101
"Brady, Kyle",JAX,5,85,6,17,0,4,80,27,0,0,2000,101
"Dawson, JaJuan",CLE,6,83,7,13.8,1,4,66.7,26,0,0,2000,101
"Sanders, Frank",ARZ,5,78,13,15.6,0,4,80,26,0,0,2000,101
"Burress, Plaxico",PIT,4,77,9,19.3,0,4,100,39,0,0,2000,101
"Mathis, Terance",ATL,3,72,6,24,1,3,100,44,0,0,2000,101
"Owens, Terrell",SF,7,72,12,10.3,1,4,57.1,19,0,0,2000,101
"Pittman, Michael",ARZ,6,71,6,11.8,0,2,33.3,21,0,0,2000,101
"Hayes, Donald",CAR,4,71,6,17.8,0,3,75,31,0,0,2000,101
"Brown, Troy",NE,7,70,7,10,0,4,57.1,26,0,0,2000,101
"Green, Jacquez",TB,2,67,7,33.5,0,2,100,34,0,0,2000,101
"Johnson, Keyshawn",TB,4,64,7,16,0,4,100,27,0,0,2000,101
"Graham, Jeff",SD,4,62,12,15.5,0,4,100,28,0,0,2000,101
"Galloway, Joey",DAL,4,62,12,15.5,1,4,100,22,0,0,2000,101
"Hilliard, Ike",NYG,3,62,4,20.7,0,2,66.7,29,0,0,2000,101
"Faulk, Kevin",NE,11,62,14,5.6,0,2,18.2,10,1,1,2000,101
"Engram, Bobby",CHI,8,61,12,7.6,0,3,37.5,25,0,0,2000,101
"Staley, Duce",PHI,4,61,7,15.3,0,4,100,26,0,0,2000,101
"Bruce, Isaac",STL,4,60,5,15,0,3,75,25,0,0,2000,101
"Rice, Jerry",SF,5,59,9,11.8,0,5,100,18,0,0,2000,101
"Freeman, Antonio",GB,3,59,4,19.7,0,2,66.7,48,0,0,2000,101
"Booker, Marty",CHI,6,59,6,9.8,0,3,50,12,1,0,2000,101
"Horn, Joe",NO,5,58,7,11.6,0,3,60,19,0,0,2000,101
"Morris, Sylvester",KC,3,58,7,19.3,0,3,100,31,0,0,2000,101
"Centers, Larry",WSH,7,56,7,8,0,2,28.6,26,0,0,2000,101
"Glenn, Terry",NE,4,56,7,14,1,2,50,39,0,0,2000,101
"Pathon, Jerome",IND,3,55,4,18.3,0,2,66.7,33,0,0,2000,101
"Westbrook, Michael",WSH,5,53,7,10.6,0,4,80,13,0,0,2000,101
"Smith, Jimmy",JAX,6,52,10,8.7,1,4,66.7,16,0,0,2000,101
"Morton, Johnnie",DET,4,52,7,13,0,3,75,19,0,0,2000,101
"Wycheck, Frank",TEN,4,51,8,12.8,0,3,75,22,0,0,2000,101
"Conway, Curtis",SD,5,50,12,10,0,3,60,14,0,0,2000,101
"Alexander, Derrick",KC,5,50,10,10,1,2,40,21,0,0,2000,101
"Taylor, Travis",BAL,4,50,7,12.5,0,2,50,28,0,0,2000,101
"Rison, Andre",OAK,5,49,5,9.8,1,3,60,14,0,0,2000,101
"Shaw, Bobby",PIT,4,49,5,12.3,0,3,75,18,0,0,2000,101
"Muhammad, Muhsin",CAR,6,48,8,8,0,1,16.7,22,0,0,2000,101
"Chrebet, Wayne",NYJ,5,47,9,9.4,0,5,100,11,0,0,2000,101
"Reed, Jake",NO,3,46,5,15.3,0,2,66.7,17,0,0,2000,101
"Moulds, Eric",BUF,2,46,5,23,0,1,50,36,0,0,2000,101
"Garner, Charlie",SF,3,45,4,15,0,2,66.7,24,0,0,2000,101
"George, Eddie",TEN,6,44,8,7.3,0,1,16.7,10,0,0,2000,101
"Jones, Freddie",SD,5,43,8,8.6,0,2,40,15,0,0,2000,101
"Comella, Greg",NYG,5,42,6,8.4,0,2,40,25,1,1,2000,101
"Price, Peerless",BUF,4,42,9,10.5,1,3,75,15,0,0,2000,101
"Anderson, Richie",NYJ,3,41,8,13.7,0,2,66.7,34,0,0,2000,101
"Proehl, Ricky",STL,3,40,4,13.3,1,3,100,22,0,0,2000,101
"McDaniel, Jeremy",BUF,3,40,4,13.3,0,3,100,20,0,0,2000,101
"James, Edgerrin",IND,6,40,7,6.7,1,1,16.7,27,0,0,2000,101
"Brown, Tim",OAK,5,39,13,7.8,0,2,40,11,0,0,2000,101
"Schroeder, Bill",GB,3,38,8,12.7,0,3,100,14,0,0,2000,101
"Chamberlain, Byron",DEN,1,38,2,38,0,1,100,38,0,0,2000,101
"Davis, Stephen",WSH,4,37,6,9.3,0,2,50,14,0,0,2000,101
"Ismail, Raghib",DAL,3,36,5,12,0,2,66.7,20,0,0,2000,101
"Allred, John",CHI,2,36,3,18,1,2,100,18,0,0,2000,101
"Toomer, Amani",NYG,4,35,5,8.8,0,3,75,11,0,0,2000,101
"Green, E.G.",IND,2,35,3,17.5,0,2,100,21,0,0,2000,101
"Martin, Curtis",NYJ,6,34,8,5.7,1,1,16.7,9,0,0,2000,101
"Gonzalez, Tony",KC,2,34,6,17,0,2,100,26,0,0,2000,101
"Watters, Ricky",SEA,3,32,5,10.7,0,2,66.7,15,0,0,2000,101
"Holmes, Priest",BAL,4,32,4,8,0,2,50,13,0,0,2000,101
"Johnson, Kevin",CLE,3,32,4,10.7,0,2,66.7,17,0,0,2000,101
"Kleinsasser, Jim",MIN,2,32,3,16,0,1,50,21,0,0,2000,101
